method,time_days,skill_mean,skill_std
Traditional-NPZ,0.0,0.8608027515459322,0.07627330983302345
Traditional-NPZ,0.006944444444444444,0.8608079709349662,0.07626339188395767
Traditional-NPZ,0.013888888888888888,0.8608130723520326,0.07625343867269176
Traditional-NPZ,0.020833333333333332,0.8608181077932173,0.07624347505149107
Traditional-NPZ,0.027777777777777776,0.8608229857112034,0.0762335154500875
Traditional-NPZ,0.034722222222222224,0.860827768109309,0.07622350924425558
Traditional-NPZ,0.041666666666666664,0.8608324235399522,0.0762134566603488
Traditional-NPZ,0.048611111111111105,0.8608368954991218,0.07620340694072969
Traditional-NPZ,0.05555555555555555,0.8608412825014745,0.07619338252005144
Traditional-NPZ,0.0625,0.8608455501901784,0.07618331427626161
Traditional-NPZ,0.06944444444444445,0.8608497340179396,0.07617321066775638
Traditional-NPZ,0.07638888888888888,0.8608537354291618,0.07616317049271687
Traditional-NPZ,0.08333333333333333,0.8608575965974652,0.07615312959313791
Traditional-NPZ,0.09027777777777778,0.8608612964973972,0.07614324889042418
Traditional-NPZ,0.09722222222222221,0.8608649032371697,0.07613341626779364
Traditional-NPZ,0.10416666666666666,0.8608683163069081,0.07612378849585787
Traditional-NPZ,0.1111111111111111,0.8608715120947317,0.07611428384982097
Traditional-NPZ,0.11805555555555555,0.860874511078542,0.07610491994553695
Traditional-NPZ,0.125,0.8608772684516098,0.07609571883556626
Traditional-NPZ,0.13194444444444445,0.8608797142568424,0.07608683627630759
Traditional-NPZ,0.1388888888888889,0.8608819217010438,0.07607807187676817
Traditional-NPZ,0.14583333333333331,0.8608839607400519,0.07606937629107821
Traditional-NPZ,0.15277777777777776,0.8608858108203518,0.07606074240864297
Traditional-NPZ,0.1597222222222222,0.8608875108809425,0.07605218056881306
Traditional-NPZ,0.16666666666666666,0.8608890204521581,0.07604377605815003
Traditional-NPZ,0.1736111111111111,0.8608902702358164,0.07603535364905334
Traditional-NPZ,0.18055555555555555,0.8608912694829212,0.07602705879380449
Traditional-NPZ,0.1875,0.8608920105557799,0.07601891184833924
Traditional-NPZ,0.19444444444444442,0.860892486881556,0.07601075934931226
Traditional-NPZ,0.20138888888888887,0.860892597213449,0.07600273212770833
Traditional-NPZ,0.20833333333333331,0.8608923671077497,0.07599484081496075
Traditional-NPZ,0.21527777777777776,0.8608918627332399,0.07598705157293695
Traditional-NPZ,0.2222222222222222,0.8608909701700623,0.07597944016350813
Traditional-NPZ,0.22916666666666666,0.8608897315798608,0.07597203899284895
Traditional-NPZ,0.2361111111111111,0.8608881733719327,0.07596471530944791
Traditional-NPZ,0.24305555555555555,0.8608861768733822,0.07595768027852291
Traditional-NPZ,0.25,0.8608837125889519,0.07595087582932487
Traditional-NPZ,0.2569444444444444,0.8608808434607261,0.07594433878821273
Traditional-NPZ,0.2638888888888889,0.8608775266878318,0.07593804245373166
Traditional-NPZ,0.2708333333333333,0.8608738202135429,0.07593203915901392
Traditional-NPZ,0.2777777777777778,0.8608696557026788,0.075926251349084
Traditional-NPZ,0.2847222222222222,0.8608651097166268,0.07592069353813707
Traditional-NPZ,0.29166666666666663,0.8608602033208772,0.0759153016955666
Traditional-NPZ,0.2986111111111111,0.8608549633602467,0.07591002035211168
Traditional-NPZ,0.3055555555555555,0.860849368476319,0.07590493849068203
Traditional-NPZ,0.3125,0.8608433983988792,0.07590012463707807
Traditional-NPZ,0.3194444444444444,0.8608369532646662,0.07589551623180657
Traditional-NPZ,0.3263888888888889,0.8608300042108534,0.07589103450535634
Traditional-NPZ,0.3333333333333333,0.8608226764320115,0.07588670592826732
Traditional-NPZ,0.34027777777777773,0.8608148657116624,0.07588251046318166
Traditional-NPZ,0.3472222222222222,0.8608066317864683,0.07587847327024506
Traditional-NPZ,0.35416666666666663,0.8607978212482106,0.07587481488678435
Traditional-NPZ,0.3611111111111111,0.8607885078825016,0.07587152427561179
Traditional-NPZ,0.3680555555555555,0.8607787630571352,0.07586837215378861
Traditional-NPZ,0.375,0.8607685945202656,0.07586525842995902
Traditional-NPZ,0.3819444444444444,0.8607579731562436,0.0758623162984148
Traditional-NPZ,0.38888888888888884,0.8607467146070752,0.07585985492563146
Traditional-NPZ,0.3958333333333333,0.8607347543136935,0.07585787961993173
Traditional-NPZ,0.40277777777777773,0.8607223003676833,0.07585624993663354
Traditional-NPZ,0.4097222222222222,0.860709294989233,0.07585473990431729
Traditional-NPZ,0.41666666666666663,0.8606958907444776,0.07585333679069861
Traditional-NPZ,0.4236111111111111,0.8606818911273387,0.07585220321320105
Traditional-NPZ,0.4305555555555555,0.860667374324123,0.07585126958271411
Traditional-NPZ,0.4375,0.8606522811306774,0.07585066051308677
Traditional-NPZ,0.4444444444444444,0.8606364646089347,0.07585053044599577
Traditional-NPZ,0.45138888888888884,0.8606200375275366,0.07585073265420243
Traditional-NPZ,0.4583333333333333,0.8606028441955254,0.07585140006545531
Traditional-NPZ,0.46527777777777773,0.8605849351868686,0.07585240716748648
Traditional-NPZ,0.4722222222222222,0.8605663480963487,0.07585380518037417
Traditional-NPZ,0.47916666666666663,0.8605470692826155,0.07585567990660841
Traditional-NPZ,0.4861111111111111,0.8605270348258981,0.07585795582197795
Traditional-NPZ,0.4930555555555555,0.8605063330290622,0.07586056121264804
Traditional-NPZ,0.5,0.8604850296578457,0.07586336414514336
Traditional-NPZ,0.5069444444444444,0.8604631134727182,0.07586629964022054
Traditional-NPZ,0.5138888888888888,0.860440634211875,0.07586958054878518
Traditional-NPZ,0.5208333333333333,0.8604172814601311,0.07587320521014013
Traditional-NPZ,0.5277777777777778,0.8603933215566442,0.0758771132452986
Traditional-NPZ,0.5347222222222222,0.8603687579947189,0.07588120887891714
Traditional-NPZ,0.5416666666666666,0.860343509711135,0.07588580305409272
Traditional-NPZ,0.548611111111111,0.8603176480713147,0.0758907116431332
Traditional-NPZ,0.5555555555555556,0.8602911539368152,0.07589579499635458
Traditional-NPZ,0.5625,0.8602641455617354,0.07590111243596113
Traditional-NPZ,0.5694444444444444,0.8602363094130456,0.07590670999004792
Traditional-NPZ,0.5763888888888888,0.8602077068495306,0.07591262164712483
Traditional-NPZ,0.5833333333333333,0.8601783441411291,0.07591884091698599
Traditional-NPZ,0.5902777777777778,0.8601482725394354,0.07592540362270332
Traditional-NPZ,0.5972222222222222,0.8601174526792272,0.07593228923360958
Traditional-NPZ,0.6041666666666666,0.8600859597511253,0.07593940174571162
Traditional-NPZ,0.611111111111111,0.8600535969985905,0.07594679060050129
Traditional-NPZ,0.6180555555555555,0.8600204683800354,0.07595444968929804
Traditional-NPZ,0.625,0.8599865627665839,0.07596265321093705
Traditional-NPZ,0.6319444444444444,0.8599520680887811,0.07597111274400323
Traditional-NPZ,0.6388888888888888,0.8599169917419007,0.07597970308372985
Traditional-NPZ,0.6458333333333333,0.8598812886812557,0.0759885420265931
Traditional-NPZ,0.6527777777777778,0.8598449157643805,0.07599768496511913
