dataset,method,index,jo_b,jb_b,J_total_b,jo_a,jb_a,J_total_a,misfitb,misfita,Improvement,pct_drop_J,pct_drop_Jo,pct_drop_Jb,cg_iterations,converged,exit_code,runtime,log_runtime,jo_jb_ratio,log_jo_jb_ratio,pct_drop_J_100
baseline,PI-NPZ,0,446.46163579432687,1.381587244827788e-27,223.23081789716343,277.36112451469387,16.301951992512066,146.83153825360296,3.805560096092494,3.0807109631355543,19.0471077753103,0.34224342482477316,0.37875709293313875,-1.179943724404033e+28,77,1,0,1.8008084297180176,0.2554675149619496,17.013982414013576,1.230805979573808,34.22434248247732
baseline,PI-NPZ,1,1406.7604856280195,0.0,703.3802428140098,931.2459720723914,34.147373381855836,482.6966727271236,4.622900542210289,3.751900988821977,18.840975388405642,0.3137471834636676,0.3380209484227476,,54,1,0,1.3039233684539795,0.11525206866928406,27.271379313971124,1.435707103959143,31.37471834636676
baseline,PI-NPZ,2,140.0375126153684,1.3695501826753677e-27,70.0187563076842,87.38516019225759,2.0246889919443025,44.704924592100944,1.2684589318240715,0.8959692353334927,29.365530656552714,0.3615292965837097,0.3759874867795423,-1.4783605723662818e+27,65,1,0,1.4300155639648438,0.15534076425335863,43.15979419058425,1.6350793650630813,36.15292965837097
baseline,PI-NPZ,3,164.72274633792838,4.8148248609680896e-29,82.36137316896419,100.50950874250105,1.5490790692616283,51.02929390588134,1.5118002908979327,1.168005794875607,22.740734876967718,0.38042201164865425,0.3898261716915161,-3.217311353979683e+28,56,1,0,1.3206212520599365,0.12077828186482376,64.88339474524636,1.8121335643929668,38.042201164865425
baseline,PI-NPZ,4,932.9212021499814,0.0,466.4606010749907,626.0283771561999,47.659081021285246,336.8437290887426,4.651982541208928,3.8606932002789125,17.009722928245985,0.277873140169903,0.328958999202211,,54,1,0,1.2650916576385498,0.10212199188701226,13.135552841998914,1.1184483558565315,27.7873140169903
baseline,PI-NPZ,5,3664.4306475836556,0.0,1832.2153237918278,2060.28089621882,48.41840580983589,1054.349651014328,6.220796721628557,4.696427414252724,24.504406358045486,0.4245492670412133,0.4377623444511414,,54,1,0,1.106696605682373,0.044028577936277166,42.551605360792095,1.628915949524756,42.454926704121334
baseline,PI-NPZ,6,131.90853963131474,0.0,65.95426981565737,82.58267120960741,5.623466252120799,44.10306873086411,1.8173781003101037,1.3614175248233755,25.088922080051834,0.3313083617765387,0.37393991745775873,,62,1,0,1.1753270626068115,0.07015873615697811,14.685367975394659,1.166884833234111,33.13083617765387
baseline,PI-NPZ,7,299.81878795978656,4.8148248609680896e-29,149.90939397989328,241.5554235886841,8.305953123511392,124.93068835609775,2.107255949531269,1.7945591841497206,14.839050066561857,0.16662535255893185,0.19432859684202672,-1.7250789724138294e+29,53,1,0,1.0914857387542725,0.03801806563307671,29.082204052527217,1.4636273173031464,16.662535255893186
baseline,PI-NPZ,8,449.14528704428784,0.0,224.57264352214392,315.719467719539,8.39774515691718,162.05860643822808,2.6042660748962634,2.1834056074226313,16.160425062957376,0.27836888813998245,0.29706605673810044,,59,1,0,1.201340913772583,0.07966626798626679,37.59574288337179,1.5751386708071182,27.836888813998247
baseline,PI-NPZ,9,4565.686870643256,1.4176984312850486e-27,2282.843435321628,2512.5007285364195,41.21135834327498,1276.8560434398473,7.471765360544641,5.413991418664331,27.540665995034836,0.4406729678945538,0.4496992895655073,-2.9069199368387285e+28,58,1,0,1.1711339950561523,0.06860658762938643,60.966219739913484,1.785089267073854,44.067296789455376
