method,dataset,metric,value
PI-NPZ,field_informed,Computational Time (s),0.9430034160614014
PI-NPZ,field_informed,Computational Time (s),0.9048812389373779
PI-NPZ,field_informed,Computational Time (s),0.9905025959014893
PI-NPZ,field_informed,Computational Time (s),0.9765264987945557
PI-NPZ,field_informed,Computational Time (s),0.9154090881347656
PI-NPZ,field_informed,Computational Time (s),0.9434716701507568
PI-NPZ,field_informed,Computational Time (s),1.1047658920288086
PI-NPZ,field_informed,Computational Time (s),0.913644552230835
PI-NPZ,field_informed,Computational Time (s),0.9365720748901367
PI-NPZ,field_informed,Computational Time (s),0.9583203792572021
PI-NPZ,field_informed,Computational Time (s),1.030357837677002
PI-NPZ,field_informed,Computational Time (s),0.8522982597351074
PI-NPZ,field_informed,Computational Time (s),0.9614088535308838
PI-NPZ,field_informed,Computational Time (s),0.8410329818725586
PI-NPZ,field_informed,Computational Time (s),0.9607975482940674
PI-NPZ,field_informed,Computational Time (s),0.9195008277893066
PI-NPZ,field_informed,Computational Time (s),0.9793417453765869
PI-NPZ,field_informed,Computational Time (s),0.8855724334716797
PI-NPZ,field_informed,Computational Time (s),0.9329798221588135
PI-NPZ,field_informed,Computational Time (s),0.8756873607635498
PI-NPZ,field_informed,Computational Time (s),0.8701391220092773
PI-NPZ,field_informed,Computational Time (s),1.0138928890228271
PI-NPZ,field_informed,Computational Time (s),0.9810464382171631
PI-NPZ,field_informed,Computational Time (s),0.8883144855499268
PI-NPZ,field_informed,Computational Time (s),0.9512040615081787
PI-NPZ,field_informed,Computational Time (s),0.9873650074005127
PI-NPZ,field_informed,Computational Time (s),0.9071683883666992
PI-NPZ,field_informed,Computational Time (s),1.1403448581695557
PI-NPZ,field_informed,Computational Time (s),0.9343771934509277
PI-NPZ,field_informed,Computational Time (s),0.8528718948364258
PI-NPZ,field_informed,Computational Time (s),0.9330146312713623
PI-NPZ,field_informed,Computational Time (s),1.0233008861541748
PI-NPZ,field_informed,Computational Time (s),0.9807960987091064
PI-NPZ,field_informed,Computational Time (s),0.9253249168395996
PI-NPZ,field_informed,Computational Time (s),0.9769613742828369
PI-NPZ,field_informed,Computational Time (s),0.8732025623321533
PI-NPZ,field_informed,Computational Time (s),0.8963654041290283
PI-NPZ,field_informed,Computational Time (s),0.9145333766937256
PI-NPZ,field_informed,Computational Time (s),0.9834659099578857
PI-NPZ,field_informed,Computational Time (s),0.7900674343109131
PI-NPZ,field_informed,Computational Time (s),1.054666519165039
PI-NPZ,field_informed,Computational Time (s),0.9210703372955322
PI-NPZ,field_informed,Computational Time (s),0.885826826095581
PI-NPZ,field_informed,Computational Time (s),1.147892951965332
PI-NPZ,field_informed,Computational Time (s),0.8464846611022949
PI-NPZ,field_informed,Computational Time (s),1.013225793838501
PI-NPZ,field_informed,Computational Time (s),0.8930623531341553
PI-NPZ,field_informed,Computational Time (s),0.9391639232635498
PI-NPZ,field_informed,Computational Time (s),0.9890387058258057
PI-NPZ,field_informed,Computational Time (s),0.8621194362640381
PI-NPZ,field_informed,Computational Time (s),0.9214937686920166
PI-NPZ,field_informed,Computational Time (s),0.8481612205505371
PI-NPZ,field_informed,Computational Time (s),0.9192981719970703
PI-NPZ,field_informed,Computational Time (s),0.9657599925994873
PI-NPZ,field_informed,Computational Time (s),0.8132674694061279
PI-NPZ,field_informed,Computational Time (s),0.9594993591308594
PI-NPZ,field_informed,Computational Time (s),0.9312121868133545
PI-NPZ,field_informed,Computational Time (s),1.0538113117218018
PI-NPZ,field_informed,Computational Time (s),0.8856980800628662
PI-NPZ,field_informed,Computational Time (s),0.9684727191925049
PI-NPZ,field_informed,Computational Time (s),0.8958523273468018
PI-NPZ,field_informed,Computational Time (s),0.9217891693115234
PI-NPZ,field_informed,Computational Time (s),0.9084203243255615
PI-NPZ,field_informed,Computational Time (s),0.8831169605255127
PI-NPZ,field_informed,Computational Time (s),0.9416525363922119
PI-NPZ,field_informed,Computational Time (s),0.8760197162628174
PI-NPZ,field_informed,Computational Time (s),0.9254190921783447
PI-NPZ,field_informed,Computational Time (s),0.912665843963623
PI-NPZ,field_informed,Computational Time (s),0.9468202590942383
PI-NPZ,field_informed,Computational Time (s),0.8741583824157715
PI-NPZ,field_informed,Computational Time (s),0.9485063552856445
PI-NPZ,field_informed,Computational Time (s),1.0597310066223145
PI-NPZ,field_informed,Computational Time (s),0.9688558578491211
PI-NPZ,field_informed,Computational Time (s),0.8987178802490234
PI-NPZ,field_informed,Computational Time (s),0.9167795181274414
PI-NPZ,field_informed,Computational Time (s),0.9124259948730469
PI-NPZ,field_informed,Computational Time (s),0.8740899562835693
PI-NPZ,field_informed,Computational Time (s),0.9342443943023682
PI-NPZ,field_informed,Computational Time (s),0.9662356376647949
PI-NPZ,field_informed,Computational Time (s),0.9404370784759521
PI-NPZ,field_informed,Computational Time (s),0.8930561542510986
PI-NPZ,field_informed,Computational Time (s),0.8888833522796631
PI-NPZ,field_informed,Computational Time (s),0.8819596767425537
PI-NPZ,field_informed,Computational Time (s),0.8409402370452881
PI-NPZ,field_informed,Computational Time (s),0.8735578060150146
PI-NPZ,field_informed,Computational Time (s),0.890355110168457
PI-NPZ,field_informed,Computational Time (s),0.9477443695068359
PI-NPZ,field_informed,Computational Time (s),0.9092082977294922
PI-NPZ,field_informed,Computational Time (s),0.8764567375183105
PI-NPZ,field_informed,Computational Time (s),0.9161767959594727
PI-NPZ,field_informed,Computational Time (s),0.9472188949584961
PI-NPZ,field_informed,Computational Time (s),0.9930992126464844
PI-NPZ,field_informed,Computational Time (s),1.0065362453460693
PI-NPZ,field_informed,Computational Time (s),0.9097204208374023
PI-NPZ,field_informed,Computational Time (s),0.8976154327392578
PI-NPZ,field_informed,Computational Time (s),0.9738709926605225
PI-NPZ,field_informed,Computational Time (s),0.8644702434539795
PI-NPZ,field_informed,Computational Time (s),0.921208381652832
PI-NPZ,field_informed,Computational Time (s),0.9492990970611572
PI-NPZ,field_informed,Computational Time (s),0.9098420143127441
PI-NPZ,field_informed,Computational Time (s),0.8741199970245361
PI-NPZ,field_informed,Computational Time (s),0.9366874694824219
PI-NPZ,field_informed,Computational Time (s),0.9202001094818115
PI-NPZ,field_informed,Computational Time (s),0.9188220500946045
PI-NPZ,field_informed,Computational Time (s),0.9265878200531006
PI-NPZ,field_informed,Computational Time (s),0.9843933582305908
PI-NPZ,field_informed,Computational Time (s),0.893413782119751
PI-NPZ,field_informed,Computational Time (s),0.937802791595459
PI-NPZ,field_informed,Computational Time (s),0.9746830463409424
PI-NPZ,field_informed,Computational Time (s),0.8856320381164551
PI-NPZ,field_informed,Computational Time (s),0.9281675815582275
PI-NPZ,field_informed,Computational Time (s),0.8986585140228271
PI-NPZ,field_informed,Computational Time (s),0.8942022323608398
PI-NPZ,field_informed,Computational Time (s),0.9600303173065186
PI-NPZ,field_informed,Computational Time (s),0.9208939075469971
PI-NPZ,field_informed,Computational Time (s),1.01436185836792
PI-NPZ,field_informed,Computational Time (s),0.9244437217712402
PI-NPZ,field_informed,Computational Time (s),0.9639582633972168
PI-NPZ,field_informed,Computational Time (s),0.8702337741851807
PI-NPZ,field_informed,Computational Time (s),0.9216108322143555
PI-NPZ,field_informed,Computational Time (s),1.081629753112793
PI-NPZ,field_informed,Computational Time (s),0.9773423671722412
PI-NPZ,field_informed,Computational Time (s),0.9566826820373535
PI-NPZ,field_informed,Computational Time (s),0.9310481548309326
PI-NPZ,field_informed,Computational Time (s),0.8657839298248291
PI-NPZ,field_informed,Computational Time (s),0.9424130916595459
PI-NPZ,field_informed,Computational Time (s),0.9605221748352051
PI-NPZ,field_informed,Computational Time (s),0.8959846496582031
PI-NPZ,field_informed,Computational Time (s),1.007134199142456
PI-NPZ,field_informed,Computational Time (s),0.9360325336456299
PI-NPZ,field_informed,Computational Time (s),0.8851170539855957
PI-NPZ,field_informed,Computational Time (s),0.9409463405609131
PI-NPZ,field_informed,Computational Time (s),0.9396436214447021
PI-NPZ,field_informed,Computational Time (s),0.9425969123840332
PI-NPZ,field_informed,Computational Time (s),0.9400677680969238
PI-NPZ,field_informed,Computational Time (s),0.8788740634918213
PI-NPZ,field_informed,Computational Time (s),1.0174682140350342
PI-NPZ,field_informed,Computational Time (s),0.9410512447357178
PI-NPZ,field_informed,Computational Time (s),0.9769418239593506
PI-NPZ,field_informed,Computational Time (s),0.9786510467529297
PI-NPZ,field_informed,Computational Time (s),0.8534901142120361
PI-NPZ,field_informed,Computational Time (s),0.9021756649017334
PI-NPZ,field_informed,Computational Time (s),1.039252758026123
PI-NPZ,field_informed,Computational Time (s),0.9414362907409668
PI-NPZ,field_informed,Computational Time (s),0.9233078956604004
PI-NPZ,field_informed,Computational Time (s),1.0006041526794434
PI-NPZ,field_informed,Computational Time (s),0.8872895240783691
PI-NPZ,field_informed,Computational Time (s),1.1339683532714844
PI-NPZ,field_informed,Computational Time (s),0.9052746295928955
PI-NPZ,field_informed,Computational Time (s),0.9701128005981445
PI-NPZ,field_informed,Computational Time (s),0.9390499591827393
PI-NPZ,field_informed,Computational Time (s),0.8886532783508301
PI-NPZ,field_informed,Computational Time (s),0.8717718124389648
PI-NPZ,field_informed,Computational Time (s),0.9028804302215576
PI-NPZ,field_informed,Computational Time (s),0.9811670780181885
PI-NPZ,field_informed,Computational Time (s),0.8741331100463867
PI-NPZ,field_informed,Computational Time (s),0.8885867595672607
PI-NPZ,field_informed,Computational Time (s),0.9363725185394287
PI-NPZ,field_informed,Computational Time (s),1.0681331157684326
PI-NPZ,field_informed,Computational Time (s),0.9044601917266846
PI-NPZ,field_informed,Computational Time (s),0.8959460258483887
PI-NPZ,field_informed,Computational Time (s),0.8233749866485596
PI-NPZ,field_informed,Computational Time (s),0.8714895248413086
PI-NPZ,field_informed,Computational Time (s),0.8959934711456299
PI-NPZ,field_informed,Computational Time (s),1.0313503742218018
PI-NPZ,field_informed,Computational Time (s),0.9664897918701172
PI-NPZ,field_informed,Computational Time (s),0.9388809204101562
PI-NPZ,field_informed,Computational Time (s),1.0689334869384766
PI-NPZ,field_informed,Computational Time (s),0.8891034126281738
PI-NPZ,field_informed,Computational Time (s),0.9554004669189453
PI-NPZ,field_informed,Computational Time (s),0.996579647064209
PI-NPZ,field_informed,Computational Time (s),0.9503321647644043
PI-NPZ,field_informed,Computational Time (s),0.86769700050354
PI-NPZ,field_informed,Computational Time (s),0.9552042484283447
PI-NPZ,field_informed,Computational Time (s),0.8901960849761963
PI-NPZ,field_informed,Computational Time (s),0.865168571472168
PI-NPZ,field_informed,Computational Time (s),0.9064152240753174
PI-NPZ,field_informed,Computational Time (s),0.9729948043823242
PI-NPZ,field_informed,Computational Time (s),0.9420785903930664
PI-NPZ,field_informed,Computational Time (s),0.9416649341583252
PI-NPZ,field_informed,Computational Time (s),0.8792245388031006
PI-NPZ,field_informed,Computational Time (s),1.0358593463897705
PI-NPZ,field_informed,Computational Time (s),1.0526819229125977
PI-NPZ,field_informed,Computational Time (s),1.013094186782837
PI-NPZ,field_informed,Computational Time (s),0.8872702121734619
PI-NPZ,field_informed,Computational Time (s),0.9320199489593506
PI-NPZ,field_informed,Computational Time (s),0.9798643589019775
PI-NPZ,field_informed,Computational Time (s),0.9070966243743896
PI-NPZ,field_informed,Computational Time (s),0.8683404922485352
PI-NPZ,field_informed,Computational Time (s),0.9177494049072266
PI-NPZ,field_informed,Computational Time (s),0.9085242748260498
PI-NPZ,field_informed,Computational Time (s),0.9656534194946289
PI-NPZ,field_informed,Computational Time (s),0.8986408710479736
PI-NPZ,field_informed,Computational Time (s),0.9190688133239746
PI-NPZ,field_informed,Computational Time (s),0.9490714073181152
PI-NPZ,field_informed,Computational Time (s),0.8987374305725098
PI-NPZ,field_informed,Computational Time (s),0.9245443344116211
PI-NPZ,field_informed,Computational Time (s),0.9241132736206055
PI-NPZ,field_informed,Computational Time (s),0.9138233661651611
PI-NPZ,field_informed,Computational Time (s),0.8955106735229492
PI-NPZ,field_informed,Computational Time (s),0.8768002986907959
PI-NPZ,field_informed,Computational Time (s),0.8981249332427979
PI-NPZ,field_informed,Computational Time (s),0.8321309089660645
PI-NPZ,field_informed,Computational Time (s),0.9737858772277832
PI-NPZ,field_informed,Computational Time (s),0.9378550052642822
PI-NPZ,field_informed,Computational Time (s),0.9523098468780518
PI-NPZ,field_informed,Computational Time (s),0.8368449211120605
PI-NPZ,field_informed,Computational Time (s),0.9226624965667725
PI-NPZ,field_informed,Computational Time (s),0.9183464050292969
PI-NPZ,field_informed,Computational Time (s),0.9273605346679688
PI-NPZ,field_informed,Computational Time (s),0.9074134826660156
PI-NPZ,field_informed,Computational Time (s),1.0423665046691895
PI-NPZ,field_informed,Computational Time (s),0.9079976081848145
PI-NPZ,field_informed,Computational Time (s),0.932382345199585
PI-NPZ,field_informed,Computational Time (s),1.0722532272338867
PI-NPZ,field_informed,Computational Time (s),0.9963560104370117
PI-NPZ,field_informed,Computational Time (s),0.9345760345458984
PI-NPZ,field_informed,Computational Time (s),0.9329626560211182
PI-NPZ,field_informed,Computational Time (s),0.9258675575256348
PI-NPZ,field_informed,Computational Time (s),0.934870719909668
PI-NPZ,field_informed,Computational Time (s),0.8444340229034424
PI-NPZ,field_informed,Computational Time (s),0.8347368240356445
PI-NPZ,field_informed,Computational Time (s),0.9822137355804443
PI-NPZ,field_informed,Computational Time (s),0.9434704780578613
PI-NPZ,field_informed,Computational Time (s),0.9173488616943359
PI-NPZ,field_informed,Computational Time (s),0.9212594032287598
PI-NPZ,field_informed,Computational Time (s),0.9527652263641357
PI-NPZ,field_informed,Computational Time (s),0.9117236137390137
PI-NPZ,field_informed,Computational Time (s),0.8932077884674072
PI-NPZ,field_informed,Computational Time (s),0.8757402896881104
PI-NPZ,field_informed,Computational Time (s),0.8962643146514893
PI-NPZ,field_informed,Computational Time (s),0.9562349319458008
PI-NPZ,field_informed,Computational Time (s),0.9790365695953369
PI-NPZ,field_informed,Computational Time (s),0.9333157539367676
PI-NPZ,field_informed,Computational Time (s),0.8724055290222168
PI-NPZ,field_informed,Computational Time (s),0.9511561393737793
PI-NPZ,field_informed,Computational Time (s),0.9343385696411133
PI-NPZ,field_informed,Computational Time (s),0.9556882381439209
PI-NPZ,field_informed,Computational Time (s),0.8751144409179688
PI-NPZ,field_informed,Computational Time (s),0.9038841724395752
PI-NPZ,field_informed,Computational Time (s),0.9071488380432129
PI-NPZ,field_informed,Computational Time (s),0.8647482395172119
PI-NPZ,field_informed,Computational Time (s),0.9088864326477051
PI-NPZ,field_informed,Computational Time (s),0.9156639575958252
PI-NPZ,field_informed,Computational Time (s),0.9909777641296387
PI-NPZ,field_informed,Computational Time (s),0.9658000469207764
PI-NPZ,field_informed,Computational Time (s),0.9339299201965332
PI-NPZ,field_informed,Computational Time (s),0.9142301082611084
PI-NPZ,field_informed,Computational Time (s),0.9986257553100586
PI-NPZ,field_informed,Computational Time (s),0.9286754131317139
PI-NPZ,field_informed,Computational Time (s),0.8740332126617432
PI-NPZ,field_informed,Computational Time (s),0.9351792335510254
PI-NPZ,field_informed,Computational Time (s),0.8777856826782227
PI-NPZ,field_informed,Computational Time (s),0.919403076171875
PI-NPZ,field_informed,Computational Time (s),0.9248826503753662
PI-NPZ,field_informed,Computational Time (s),0.8651814460754395
PI-NPZ,field_informed,Computational Time (s),0.9871716499328613
PI-NPZ,field_informed,Computational Time (s),0.8255512714385986
PI-NPZ,field_informed,Computational Time (s),0.970588207244873
PI-NPZ,field_informed,Computational Time (s),0.9250988960266113
PI-NPZ,field_informed,Computational Time (s),1.0512642860412598
PI-NPZ,field_informed,Computational Time (s),0.9228131771087646
PI-NPZ,field_informed,Computational Time (s),0.9295248985290527
PI-NPZ,field_informed,Computational Time (s),0.9857819080352783
PI-NPZ,field_informed,Computational Time (s),0.9435269832611084
PI-NPZ,field_informed,Computational Time (s),0.9293584823608398
PI-NPZ,field_informed,Computational Time (s),0.9778182506561279
PI-NPZ,field_informed,Computational Time (s),1.0347304344177246
PI-NPZ,field_informed,Computational Time (s),0.9283289909362793
PI-NPZ,field_informed,Computational Time (s),0.8521633148193359
PI-NPZ,field_informed,Computational Time (s),0.9512717723846436
PI-NPZ,field_informed,Computational Time (s),0.9051389694213867
PI-NPZ,field_informed,Computational Time (s),0.9041080474853516
PI-NPZ,field_informed,Computational Time (s),0.9175841808319092
PI-NPZ,field_informed,Computational Time (s),0.9122378826141357
PI-NPZ,field_informed,Computational Time (s),0.9132387638092041
PI-NPZ,field_informed,Computational Time (s),0.8809189796447754
PI-NPZ,field_informed,Computational Time (s),0.9452078342437744
PI-NPZ,field_informed,Computational Time (s),0.9454724788665771
PI-NPZ,field_informed,Computational Time (s),0.9084382057189941
PI-NPZ,field_informed,Computational Time (s),0.8892605304718018
PI-NPZ,field_informed,Computational Time (s),0.921123743057251
PI-NPZ,field_informed,Computational Time (s),0.9908723831176758
PI-NPZ,field_informed,Computational Time (s),1.0714614391326904
PI-NPZ,field_informed,Computational Time (s),0.8846054077148438
PI-NPZ,field_informed,Computational Time (s),0.9816145896911621
PI-NPZ,field_informed,Computational Time (s),0.9445569515228271
PI-NPZ,field_informed,Computational Time (s),0.9593498706817627
PI-NPZ,field_informed,Computational Time (s),0.8762779235839844
PI-NPZ,field_informed,Computational Time (s),0.8971371650695801
PI-NPZ,field_informed,Computational Time (s),0.8815639019012451
PI-NPZ,field_informed,Computational Time (s),0.9266843795776367
PI-NPZ,field_informed,Computational Time (s),0.8694260120391846
PI-NPZ,field_informed,Computational Time (s),0.8729822635650635
PI-NPZ,field_informed,Computational Time (s),0.914618730545044
PI-NPZ,field_informed,Computational Time (s),0.9515910148620605
PI-NPZ,field_informed,Computational Time (s),0.9128284454345703
PI-NPZ,field_informed,Computational Time (s),0.950197696685791
PI-NPZ,field_informed,Computational Time (s),0.926372766494751
PI-NPZ,field_informed,Computational Time (s),0.9315714836120605
PI-NPZ,field_informed,Computational Time (s),0.9560492038726807
PI-NPZ,field_informed,Computational Time (s),0.9487247467041016
PI-NPZ,field_informed,Computational Time (s),0.9339499473571777
PI-NPZ,field_informed,Computational Time (s),0.879753589630127
PI-NPZ,field_informed,Computational Time (s),0.8688905239105225
PI-NPZ,field_informed,Computational Time (s),0.9523665904998779
PI-NPZ,field_informed,Computational Time (s),0.9289207458496094
PI-NPZ,field_informed,Computational Time (s),0.8917801380157471
PI-NPZ,field_informed,Computational Time (s),0.9364228248596191
PI-NPZ,field_informed,Computational Time (s),0.9318711757659912
PI-NPZ,field_informed,Computational Time (s),0.8714478015899658
PI-NPZ,field_informed,Computational Time (s),0.9870262145996094
PI-NPZ,field_informed,Computational Time (s),0.8920948505401611
PI-NPZ,field_informed,Computational Time (s),0.9108340740203857
PI-NPZ,field_informed,Computational Time (s),0.8836958408355713
PI-NPZ,field_informed,Computational Time (s),0.9567224979400635
PI-NPZ,field_informed,Computational Time (s),0.9060800075531006
PI-NPZ,field_informed,Computational Time (s),0.9311070442199707
PI-NPZ,field_informed,Computational Time (s),0.9999547004699707
PI-NPZ,field_informed,Computational Time (s),0.9050443172454834
PI-NPZ,field_informed,Computational Time (s),0.9213318824768066
PI-NPZ,field_informed,Computational Time (s),0.9382596015930176
PI-NPZ,field_informed,Computational Time (s),0.9988212585449219
PI-NPZ,field_informed,Computational Time (s),0.9498469829559326
PI-NPZ,field_informed,Computational Time (s),1.0036139488220215
PI-NPZ,field_informed,Computational Time (s),0.9053065776824951
PI-NPZ,field_informed,Computational Time (s),1.059802532196045
PI-NPZ,field_informed,Computational Time (s),0.8397152423858643
PI-NPZ,field_informed,Computational Time (s),0.9994697570800781
PI-NPZ,field_informed,Computational Time (s),0.8779537677764893
PI-NPZ,field_informed,Computational Time (s),0.9128684997558594
PI-NPZ,field_informed,Computational Time (s),0.9253699779510498
PI-NPZ,field_informed,Computational Time (s),0.9432220458984375
PI-NPZ,field_informed,Computational Time (s),0.9120326042175293
PI-NPZ,field_informed,Computational Time (s),0.9138708114624023
PI-NPZ,field_informed,Computational Time (s),1.1310539245605469
PI-NPZ,field_informed,Computational Time (s),0.9375565052032471
PI-NPZ,field_informed,Computational Time (s),0.9207124710083008
PI-NPZ,field_informed,Computational Time (s),0.9349913597106934
PI-NPZ,field_informed,Computational Time (s),0.8582417964935303
PI-NPZ,field_informed,Computational Time (s),0.9861619472503662
PI-NPZ,field_informed,Computational Time (s),0.8470714092254639
PI-NPZ,field_informed,Computational Time (s),0.9307928085327148
PI-NPZ,field_informed,Computational Time (s),0.8936491012573242
PI-NPZ,field_informed,Computational Time (s),0.989215612411499
PI-NPZ,field_informed,Computational Time (s),0.8931562900543213
PI-NPZ,field_informed,Computational Time (s),0.933006763458252
PI-NPZ,field_informed,Computational Time (s),1.0850744247436523
PI-NPZ,field_informed,Computational Time (s),0.8411357402801514
PI-NPZ,field_informed,Computational Time (s),0.9809520244598389
PI-NPZ,field_informed,Computational Time (s),0.8949234485626221
PI-NPZ,field_informed,Computational Time (s),0.9318187236785889
PI-NPZ,field_informed,Computational Time (s),0.911351203918457
PI-NPZ,field_informed,Computational Time (s),0.9134824275970459
PI-NPZ,field_informed,Computational Time (s),0.8886892795562744
PI-NPZ,field_informed,Computational Time (s),0.9166851043701172
PI-NPZ,field_informed,Computational Time (s),0.9035499095916748
PI-NPZ,field_informed,Computational Time (s),0.8575305938720703
PI-NPZ,field_informed,Computational Time (s),0.9572093486785889
PI-NPZ,field_informed,Computational Time (s),0.979417085647583
PI-NPZ,field_informed,Computational Time (s),0.9154109954833984
PI-NPZ,field_informed,Computational Time (s),1.0170509815216064
PI-NPZ,field_informed,Computational Time (s),0.9195449352264404
PI-NPZ,field_informed,Computational Time (s),0.8764951229095459
PI-NPZ,field_informed,Computational Time (s),0.9160032272338867
PI-NPZ,field_informed,Computational Time (s),0.9637391567230225
PI-NPZ,field_informed,Computational Time (s),0.9350512027740479
PI-NPZ,field_informed,Computational Time (s),0.9750487804412842
PI-NPZ,field_informed,Computational Time (s),0.8799259662628174
PI-NPZ,field_informed,Computational Time (s),0.8787651062011719
PI-NPZ,field_informed,Computational Time (s),0.9226377010345459
PI-NPZ,field_informed,Computational Time (s),0.8660986423492432
PI-NPZ,field_informed,Computational Time (s),0.9537725448608398
PI-NPZ,field_informed,Computational Time (s),0.9035072326660156
PI-NPZ,field_informed,Computational Time (s),0.9531238079071045
PI-NPZ,field_informed,Computational Time (s),0.9339256286621094
PI-NPZ,field_informed,Computational Time (s),0.9739625453948975
PI-NPZ,field_informed,Computational Time (s),0.9247186183929443
PI-NPZ,field_informed,Computational Time (s),0.850064754486084
PI-NPZ,field_informed,Computational Time (s),0.8817894458770752
PI-NPZ,field_informed,Computational Time (s),0.9044203758239746
PI-NPZ,field_informed,Computational Time (s),0.9208230972290039
PI-NPZ,field_informed,Computational Time (s),1.0695288181304932
PI-NPZ,field_informed,Computational Time (s),0.9026803970336914
PI-NPZ,field_informed,Computational Time (s),1.0108933448791504
PI-NPZ,field_informed,Computational Time (s),0.883561372756958
PI-NPZ,field_informed,Computational Time (s),0.9320991039276123
PI-NPZ,field_informed,Computational Time (s),0.8519318103790283
PI-NPZ,field_informed,Computational Time (s),0.9627096652984619
PI-NPZ,field_informed,Computational Time (s),0.8721616268157959
PI-NPZ,field_informed,Computational Time (s),1.04150390625
PI-NPZ,field_informed,Computational Time (s),0.8668575286865234
PI-NPZ,field_informed,Computational Time (s),0.884087324142456
PI-NPZ,field_informed,Computational Time (s),1.016897439956665
PI-NPZ,field_informed,Computational Time (s),0.9077684879302979
PI-NPZ,field_informed,Computational Time (s),0.9461009502410889
PI-NPZ,field_informed,Computational Time (s),0.9485955238342285
PI-NPZ,field_informed,Computational Time (s),0.956615686416626
PI-NPZ,field_informed,Computational Time (s),0.903491735458374
PI-NPZ,field_informed,Computational Time (s),0.9989666938781738
PI-NPZ,field_informed,Computational Time (s),0.9623012542724609
PI-NPZ,field_informed,Computational Time (s),0.8733227252960205
PI-NPZ,field_informed,Computational Time (s),0.9325566291809082
PI-NPZ,field_informed,Computational Time (s),0.9895436763763428
PI-NPZ,field_informed,Computational Time (s),0.9761033058166504
PI-NPZ,field_informed,Computational Time (s),1.0282337665557861
PI-NPZ,field_informed,Computational Time (s),0.8781638145446777
PI-NPZ,field_informed,Computational Time (s),0.8867464065551758
PI-NPZ,field_informed,Computational Time (s),0.9886202812194824
PI-NPZ,field_informed,Computational Time (s),0.9157223701477051
PI-NPZ,field_informed,Computational Time (s),0.8833379745483398
PI-NPZ,field_informed,Computational Time (s),0.8948605060577393
PI-NPZ,field_informed,Computational Time (s),0.9288222789764404
PI-NPZ,field_informed,Computational Time (s),0.8705441951751709
PI-NPZ,field_informed,Computational Time (s),0.9188809394836426
PI-NPZ,field_informed,Computational Time (s),0.9728214740753174
PI-NPZ,field_informed,Computational Time (s),0.9402403831481934
PI-NPZ,field_informed,Computational Time (s),0.8603525161743164
PI-NPZ,field_informed,Computational Time (s),0.8527622222900391
PI-NPZ,field_informed,Computational Time (s),0.9368956089019775
PI-NPZ,field_informed,Computational Time (s),1.0132830142974854
PI-NPZ,field_informed,Computational Time (s),0.9171261787414551
PI-NPZ,field_informed,Computational Time (s),0.9815061092376709
PI-NPZ,field_informed,Computational Time (s),1.1055309772491455
PI-NPZ,field_informed,Computational Time (s),0.8594841957092285
PI-NPZ,field_informed,Computational Time (s),0.9536721706390381
PI-NPZ,field_informed,Computational Time (s),0.9381089210510254
PI-NPZ,field_informed,Computational Time (s),1.036963939666748
PI-NPZ,field_informed,Computational Time (s),0.9234673976898193
PI-NPZ,field_informed,Computational Time (s),0.9524333477020264
PI-NPZ,field_informed,Computational Time (s),0.9005861282348633
PI-NPZ,field_informed,Computational Time (s),0.9566347599029541
PI-NPZ,field_informed,Computational Time (s),0.9537811279296875
PI-NPZ,field_informed,Computational Time (s),0.9898808002471924
PI-NPZ,field_informed,Computational Time (s),0.8509445190429688
PI-NPZ,field_informed,Computational Time (s),0.9016938209533691
PI-NPZ,field_informed,Computational Time (s),0.9387588500976562
PI-NPZ,field_informed,Computational Time (s),0.9567468166351318
PI-NPZ,field_informed,Computational Time (s),0.971440315246582
PI-NPZ,field_informed,Computational Time (s),0.8808994293212891
PI-NPZ,field_informed,Computational Time (s),0.8899955749511719
PI-NPZ,field_informed,Computational Time (s),0.9390590190887451
PI-NPZ,field_informed,Computational Time (s),0.9737591743469238
PI-NPZ,field_informed,Computational Time (s),0.9470558166503906
PI-NPZ,field_informed,Computational Time (s),1.1795146465301514
PI-NPZ,field_informed,Computational Time (s),0.8978078365325928
PI-NPZ,field_informed,Computational Time (s),0.9979908466339111
PI-NPZ,field_informed,Computational Time (s),1.0191500186920166
PI-NPZ,field_informed,Computational Time (s),0.9979658126831055
PI-NPZ,field_informed,Computational Time (s),0.8987126350402832
PI-NPZ,field_informed,Computational Time (s),0.9188425540924072
PI-NPZ,field_informed,Computational Time (s),0.9162962436676025
PI-NPZ,field_informed,Computational Time (s),0.9104678630828857
PI-NPZ,field_informed,Computational Time (s),0.8927507400512695
PI-NPZ,field_informed,Computational Time (s),0.8653419017791748
PI-NPZ,field_informed,Computational Time (s),0.975658655166626
PI-NPZ,field_informed,Computational Time (s),0.8989760875701904
PI-NPZ,field_informed,Computational Time (s),0.8826565742492676
PI-NPZ,field_informed,Computational Time (s),0.876821756362915
PI-NPZ,field_informed,Computational Time (s),0.9305624961853027
PI-NPZ,field_informed,Computational Time (s),0.941551685333252
PI-NPZ,field_informed,Computational Time (s),0.8978219032287598
PI-NPZ,field_informed,Computational Time (s),1.013899803161621
PI-NPZ,field_informed,Computational Time (s),0.9195382595062256
PI-NPZ,field_informed,Computational Time (s),0.9296283721923828
PI-NPZ,field_informed,Computational Time (s),0.9299795627593994
PI-NPZ,field_informed,Computational Time (s),0.959287166595459
