method,dataset,metric,value
PI-NPZ,baseline,Computational Time (s),1.4940135478973389
PI-NPZ,baseline,Computational Time (s),1.4349217414855957
PI-NPZ,baseline,Computational Time (s),1.1265583038330078
PI-NPZ,baseline,Computational Time (s),0.9836387634277344
PI-NPZ,baseline,Computational Time (s),1.0515055656433105
PI-NPZ,baseline,Computational Time (s),1.0523936748504639
PI-NPZ,baseline,Computational Time (s),1.138235330581665
PI-NPZ,baseline,Computational Time (s),1.4269418716430664
PI-NPZ,baseline,Computational Time (s),1.331371784210205
PI-NPZ,baseline,Computational Time (s),1.070206880569458
PI-NPZ,baseline,Computational Time (s),1.1324090957641602
PI-NPZ,baseline,Computational Time (s),0.9791569709777832
PI-NPZ,baseline,Computational Time (s),1.3426494598388672
PI-NPZ,baseline,Computational Time (s),1.1193006038665771
PI-NPZ,baseline,Computational Time (s),1.3990209102630615
PI-NPZ,baseline,Computational Time (s),1.3787705898284912
PI-NPZ,baseline,Computational Time (s),0.955157995223999
PI-NPZ,baseline,Computational Time (s),1.2667102813720703
PI-NPZ,baseline,Computational Time (s),1.4417345523834229
PI-NPZ,baseline,Computational Time (s),1.1663148403167725
PI-NPZ,baseline,Computational Time (s),0.976625919342041
PI-NPZ,baseline,Computational Time (s),1.1597387790679932
PI-NPZ,baseline,Computational Time (s),1.1815097332000732
PI-NPZ,baseline,Computational Time (s),1.2519769668579102
PI-NPZ,baseline,Computational Time (s),1.1236865520477295
PI-NPZ,baseline,Computational Time (s),1.3037097454071045
PI-NPZ,baseline,Computational Time (s),1.1204683780670166
PI-NPZ,baseline,Computational Time (s),1.0793569087982178
PI-NPZ,baseline,Computational Time (s),0.9781973361968994
PI-NPZ,baseline,Computational Time (s),1.2443761825561523
PI-NPZ,baseline,Computational Time (s),1.039541482925415
PI-NPZ,baseline,Computational Time (s),1.2160234451293945
PI-NPZ,baseline,Computational Time (s),1.037452220916748
PI-NPZ,baseline,Computational Time (s),1.1346650123596191
PI-NPZ,baseline,Computational Time (s),0.982414960861206
PI-NPZ,baseline,Computational Time (s),1.669145107269287
PI-NPZ,baseline,Computational Time (s),1.092705249786377
PI-NPZ,baseline,Computational Time (s),1.1326453685760498
PI-NPZ,baseline,Computational Time (s),1.170654058456421
PI-NPZ,baseline,Computational Time (s),1.1667561531066895
PI-NPZ,baseline,Computational Time (s),1.1065309047698975
PI-NPZ,baseline,Computational Time (s),1.2604079246520996
PI-NPZ,baseline,Computational Time (s),1.2179348468780518
PI-NPZ,baseline,Computational Time (s),1.3854613304138184
PI-NPZ,baseline,Computational Time (s),1.0519318580627441
PI-NPZ,baseline,Computational Time (s),1.362450122833252
PI-NPZ,baseline,Computational Time (s),0.9591958522796631
