dataset,index,N_perturbed,P_perturbed,Z_perturbed,distance_N,distance_P,distance_Z,distance_total_L2,distance_total_L1,rk4_run_time,pinn_run_time
baseline,51,1.6261501272975978,0.3014838919500622,0.07012698011737663,0.02615012729759769,0.0014838919500622105,0.029873019882623378,0.03972944009053783,0.05750703913028328,0.029691219329833984,1.3996896743774414
baseline,52,1.5061162125775482,0.18512765651544194,0.1288805062997224,0.09388378742245185,0.11487234348455805,0.028880506299722386,0.15114200105379946,0.23763663720673228,0.034673452377319336,1.4159152507781982
baseline,53,1.6358506350664002,0.2510661190657435,0.14191451764311286,0.03585063506640007,0.04893388093425649,0.04191451764311285,0.07373343561239368,0.12669903364376942,0.03528952598571777,1.4261560440063477
baseline,54,1.6591667676228297,0.24582965344684157,0.06361520100940524,0.059166767622829575,0.054170346553158416,0.03638479899059477,0.08808510903784579,0.14972191316658276,0.03505587577819824,1.4305944442749023
baseline,55,1.6420187244061852,0.27393019881194375,0.1193881854969932,0.04201872440618515,0.02606980118805624,0.0193881854969932,0.053114117441350146,0.08747671109123459,0.03552675247192383,1.4352188110351562
baseline,56,1.5111420753688911,0.3422591749000747,0.12368040195224173,0.08885792463110898,0.04225917490007469,0.02368040195224172,0.10120439748154564,0.1547975014834254,0.034973859786987305,1.4001071453094482
baseline,57,1.6150154673001358,0.3451520184214209,0.06602878572277258,0.015015467300135699,0.045152018421420914,0.03397121427722742,0.05846548062950546,0.09413869999878403,0.03528714179992676,1.4272923469543457
baseline,58,1.4565261049489984,0.30143809709222896,0.13710745053618528,0.14347389505100172,0.0014380970922289738,0.03710745053618528,0.14820185413701129,0.18201944267941597,0.03477120399475098,1.424166202545166
baseline,59,1.5747362664339803,0.39114663273135464,0.13181639915381616,0.02526373356601974,0.09114663273135465,0.03181639915381615,0.0997910223771369,0.14822676545119054,0.034319400787353516,1.4179680347442627
baseline,60,1.5598723308723008,0.3533924877998554,0.15156779611587534,0.04012766912769927,0.05339248779985539,0.051567796115875336,0.08438142674385343,0.14508795304343,0.0331878662109375,1.410301923751831
baseline,61,1.5748666530322941,0.2330976776983201,0.13936373111349196,0.025133346967705972,0.06690232230167989,0.03936373111349195,0.08159110972607397,0.1313994003828778,0.032549381256103516,1.4226434230804443
baseline,62,1.639232690731866,0.3973352055498477,0.11226844239446383,0.03923269073186586,0.0973352055498477,0.012268442394463827,0.10565917347906718,0.1488363386761774,0.0313413143157959,1.4126288890838623
baseline,63,1.6095943437530358,0.2683136187639145,0.19280440566505447,0.009594343753035695,0.03168638123608547,0.09280440566505446,0.0985329178433987,0.13408513065417563,0.0310211181640625,1.4212312698364258
baseline,64,1.7119141378499232,0.25287789418476364,0.12732643156120707,0.1119141378499231,0.04712210581523635,0.027326431561207065,0.12446686695270856,0.18636267522636651,0.03128385543823242,1.4201622009277344
baseline,65,1.5780454368408214,0.2881295591559706,0.0759659424777431,0.021954563159178653,0.011870440844029384,0.024034057522256902,0.034648897966964534,0.05785906152546494,0.030336856842041016,1.4235215187072754
baseline,66,1.5652540281276714,0.375138581707227,0.05154191451687595,0.03474597187232864,0.07513858170722704,0.04845808548312405,0.0959232770031135,0.15834263906267973,0.030602216720581055,1.4417953491210938
baseline,67,1.5420773362217446,0.34756822359531325,0.11064424201319187,0.0579226637782555,0.047568223595313264,0.010644242013191862,0.07570383585537754,0.11613512938676063,0.03031444549560547,1.4209842681884766
baseline,68,1.6568750190631187,0.3456988707011463,0.09786408349094883,0.05687501906311865,0.04569887070114631,0.002135916509051178,0.07299120985518623,0.10470980627331614,0.030474185943603516,1.4247453212738037
baseline,69,1.6547586121397875,0.39160511303040496,0.17095013787380925,0.05475861213978739,0.09160511303040497,0.07095013787380924,0.1281558598000945,0.2173138630440016,0.030321836471557617,1.4245123863220215
baseline,70,1.5831518962382671,0.32038269620550447,0.10861734487082543,0.016848103761732958,0.02038269620550448,0.008617344870825425,0.027813154038956966,0.04584814483806286,0.030458927154541016,1.432868242263794
baseline,71,1.492592194280205,0.25310405364702326,0.12376618029987532,0.10740780571979514,0.046895946352976725,0.023766180299875317,0.11958468898621055,0.17806993237264718,0.030310392379760742,1.423008918762207
baseline,72,1.5748571598588237,0.2801688477493574,0.10568787938892978,0.025142840141176404,0.01983115225064258,0.00568787938892977,0.03252366802646851,0.050661871780748755,0.030811548233032227,1.4256982803344727
baseline,73,1.5556849540801325,0.22745345582066,0.12421961471204257,0.04431504591986757,0.07254654417933998,0.024219614712042564,0.08839351845041969,0.1410812048112501,0.03069162368774414,1.4346868991851807
baseline,74,1.5728568971963506,0.256933028403705,0.11489075215963675,0.02714310280364951,0.04306697159629497,0.014890752159636741,0.05304004687182402,0.08510082655958122,0.02951836585998535,1.4129407405853271
baseline,75,1.5995679726931953,0.3968781976796739,0.1404869545188586,0.0004320273068048053,0.09687819767967393,0.04048695451885859,0.10499888246770975,0.13779717950533732,0.030146121978759766,1.444333791732788
baseline,76,1.5298838849182155,0.2700835618436009,0.13111530083365452,0.07011611508178461,0.029916438156399106,0.03111530083365452,0.0823372625977846,0.13114785407183824,0.02946186065673828,1.4344513416290283
baseline,77,1.7012368651031835,0.45087692482632313,0.06276164711005652,0.10123686510318342,0.15087692482632314,0.03723835288994348,0.18547087164006126,0.28935214281945004,0.02954888343811035,1.4352085590362549
baseline,78,1.5043403974471583,0.2953318052954813,0.06622611781684833,0.09565960255284178,0.00466819470451868,0.03377388218315168,0.10155405811728235,0.13410167944051216,0.029514789581298828,1.4049291610717773
baseline,79,1.6016012024771173,0.26023367530440444,0.15148160230038682,0.0016012024771172584,0.039766324695595545,0.051481602300386814,0.06507134395863859,0.09284912947309962,0.029479503631591797,1.4113810062408447
baseline,80,1.5805309846873536,0.45146702427018204,0.06090064499705153,0.019469015312646443,0.15146702427018205,0.03909935500294848,0.15763902296117727,0.21003539458577697,0.029469013214111328,1.438260793685913
baseline,81,1.5843569916861266,0.3381646712540681,0.09722026860054435,0.01564300831387344,0.03816467125406814,0.0027797313994556566,0.041339723604447674,0.056587410967397236,0.029489994049072266,1.4318785667419434
baseline,82,1.4883758469287927,0.42041661423695786,0.0874885524591085,0.11162415307120743,0.12041661423695788,0.012511447540891507,0.16467133585638138,0.24455221484905681,0.030434370040893555,1.4436678886413574
baseline,83,1.7241868088186567,0.29859275275186864,0.0725345288300542,0.12418680881865662,0.0014072472481313492,0.0274654711699458,0.12719550281344882,0.15305952723673377,0.03049612045288086,1.4269304275512695
baseline,84,1.6164939382625925,0.2887877589828944,0.10580150374618459,0.016493938262592378,0.011212241017105606,0.005801503746184586,0.020770695552938714,0.03350768302588257,0.030137062072753906,1.4381403923034668
baseline,85,1.7581110968589266,0.28975670329119985,0.11183546894970717,0.15811109685892655,0.010243296708800143,0.011835468949707162,0.15888399039128157,0.18018986251743385,0.02989983558654785,1.4314656257629395
baseline,86,1.4626233834167663,0.19971604067507404,0.056159825431362914,0.13737661658323375,0.10028395932492595,0.04384017456863709,0.17564500615716006,0.2815007504767968,0.029669761657714844,1.4243032932281494
baseline,87,1.5381175982299555,0.32654994042886076,0.05,0.06188240177004456,0.026549940428860774,0.05,0.08387091859283091,0.13843234219890532,0.029720544815063477,1.4244334697723389
baseline,88,1.6597240522582786,0.22295282432888075,0.10842000746162238,0.05972405225827848,0.07704717567111924,0.008420007461622372,0.0978474640586033,0.14519123539102008,0.029724597930908203,1.414771556854248
baseline,89,1.554224762067528,0.3153289167756189,0.05291807755504503,0.04577523793247207,0.015328916775618928,0.047081922444954974,0.06743185833418086,0.10818607715304597,0.029734134674072266,1.4135448932647705
baseline,90,1.5839446378509037,0.2210793623845917,0.0915334705079715,0.01605536214909642,0.0789206376154083,0.008466529492028502,0.08098100898976639,0.10344252925653322,0.029651403427124023,1.4136717319488525
baseline,91,1.5567625080609737,0.24250429051796454,0.11398954298302176,0.04323749193902637,0.057495709482035445,0.013989542983021755,0.07328672888657131,0.11472274440408357,0.02977752685546875,1.432837963104248
baseline,92,1.368790265417156,0.2564262096899682,0.14679283556233458,0.2312097345828441,0.04357379031003178,0.04679283556233457,0.23988786135987689,0.32157636045521043,0.029267549514770508,1.4386851787567139
baseline,93,1.6086690711916836,0.3459657100310939,0.13077548234973288,0.008669071191683475,0.0459657100310939,0.030775482349732874,0.055992228102191136,0.08541026357251025,0.04789328575134277,1.4385759830474854
baseline,94,1.4963357725764466,0.32413244988083323,0.0754748318091702,0.10366422742355352,0.02413244988083324,0.02452516819082981,0.10922513931948838,0.15232184549521657,0.03545546531677246,1.4151802062988281
baseline,95,1.6516066298059962,0.320274456276302,0.05453944565476069,0.05160662980599606,0.020274456276302033,0.04546055434523932,0.0717004868784673,0.11734164042753742,0.028939008712768555,1.4413738250732422
baseline,96,1.6640921909768667,0.3831153749719798,0.12408915826623347,0.06409219097686658,0.0831153749719798,0.024089158266233465,0.10768594173300239,0.17129672421507985,0.02896595001220703,1.4233596324920654
baseline,97,1.5488733115683342,0.2561840079435227,0.05573866989182253,0.0511266884316659,0.04381599205647729,0.044261330108177475,0.08057819042909178,0.13920401059632068,0.02905750274658203,1.4387245178222656
baseline,98,1.6371323587402864,0.2482447271768259,0.08418223859054184,0.03713235874028631,0.051755272823174076,0.01581776140945816,0.0656324760055953,0.10470539297291855,0.029043912887573242,1.4442005157470703
baseline,99,1.6137644640825497,0.2048332712796348,0.06340069194065023,0.01376446408254961,0.09516672872036519,0.03659930805934977,0.10288671477522529,0.14553050086226457,0.029064178466796875,1.4091160297393799
baseline,100,1.4805342247388005,0.3564588902002974,0.14511990964471885,0.11946577526119961,0.05645889020029743,0.04511990964471885,0.13962622958368634,0.2210445751062159,0.029111385345458984,1.4164469242095947
baseline,101,1.6818645272537542,0.21972902052957605,0.16735612448896836,0.08186452725375415,0.08027097947042394,0.06735612448896836,0.13297397667887983,0.22949163121314645,0.0292055606842041,1.4198265075683594
baseline,102,1.6557684171792917,0.29950435530915553,0.17225085479304714,0.055768417179291596,0.0004956446908444545,0.07225085479304713,0.09127183594444153,0.12851491666318318,0.029722929000854492,1.4067025184631348
baseline,103,1.5224541513238863,0.25103400884281957,0.1446461086578579,0.0775458486761138,0.04896599115718042,0.0446461086578579,0.10200148016177542,0.17115794849115212,0.032006263732910156,1.4267654418945312
baseline,104,1.5451049742033396,0.22362755153643116,0.10012312605685508,0.0548950257966605,0.07637244846356883,0.00012312605685507738,0.09405439862952915,0.1313906003170844,0.052909135818481445,1.4267034530639648
baseline,105,1.5700570756373189,0.39442847811402454,0.12786705800603235,0.0299429243626812,0.09442847811402455,0.02786705800603234,0.10290718692215638,0.1522384604827381,0.030827760696411133,1.4118614196777344
baseline,106,1.7063062108226017,0.3333125271973742,0.12228629146376205,0.10630621082260161,0.03331252719737421,0.022286291463762042,0.11361079928837298,0.16190502948373786,0.029745817184448242,1.4256937503814697
baseline,107,1.654746524762217,0.25590163668201676,0.09784937650410042,0.054746524762216975,0.044098363317983225,0.0021506234958995896,0.07033116522769974,0.10099551157609979,0.02984142303466797,1.4299533367156982
baseline,108,1.6386708574899596,0.36128994253700547,0.16092181217662926,0.038670857489959465,0.06128994253700548,0.06092181217662926,0.09467502032787044,0.1608826122035942,0.02966451644897461,1.4281582832336426
baseline,109,1.5410134852362254,0.266565503417948,0.09297091135801189,0.0589865147637747,0.033434496582052,0.007029088641988118,0.0681665795886018,0.09945009998781482,0.02970099449157715,1.412829875946045
baseline,110,1.516006244146015,0.33803913938619745,0.05157472942655957,0.08399375585398516,0.03803913938619746,0.04842527057344043,0.10414861486266795,0.17045816581362305,0.029729366302490234,1.4038009643554688
baseline,111,1.5772425764344837,0.1182566502523548,0.07617934283309227,0.022757423565516355,0.1817433497476452,0.023820657166907733,0.1847050871327007,0.22832143048006928,0.029841899871826172,1.4085171222686768
baseline,112,1.5521913002973646,0.3371364512682852,0.13266634451999262,0.04780869970263546,0.03713645126828519,0.03266634451999262,0.068788646187851,0.11761149549091326,0.05270123481750488,1.4790332317352295
baseline,113,1.5517522017944176,0.3141568343554643,0.09725968031897064,0.04824779820558245,0.014156834355464332,0.002740319681029363,0.050356482627452216,0.06514495224207614,0.031820058822631836,1.2857027053833008
baseline,114,1.6069556278047958,0.3841441240720202,0.09615492282866839,0.00695562780479575,0.08414412407202021,0.003845077171331618,0.08451863103754033,0.09494482904814758,0.03014349937438965,1.2560522556304932
baseline,115,1.535252727416016,0.3744885496038102,0.11048348946819045,0.06474727258398416,0.07448854960381018,0.010483489468190443,0.09925047546774624,0.1497193116559848,0.029981613159179688,1.257488489151001
baseline,116,1.5438878322008605,0.33219361092439886,0.13797103048461315,0.056112167799139634,0.032193610924398874,0.037971030484613144,0.07501201980705358,0.12627680920815165,0.029987096786499023,1.2573039531707764
baseline,117,1.5963402886538347,0.3210208660077997,0.05768405853883345,0.003659711346165384,0.021020866007799732,0.04231594146116655,0.04739102443079276,0.06699651881513166,0.030050277709960938,1.2586770057678223
baseline,118,1.505451233813599,0.3437957551795069,0.06324638936452356,0.09454876618640107,0.0437957551795069,0.03675361063547644,0.11049147140778898,0.1750981320013844,0.030007123947143555,1.2621755599975586
baseline,119,1.6451749249379406,0.31081240029281954,0.1011983418320702,0.04517492493794051,0.010812400292819546,0.001198341832070196,0.046466308938705396,0.05718566706283025,0.030000925064086914,1.2578754425048828
baseline,120,1.6625070481809316,0.2069083643852514,0.21239604806052495,0.06250704818093156,0.09309163561474859,0.11239604806052494,0.15876414996259786,0.2679947318562051,0.03559160232543945,1.260387659072876
baseline,121,1.4303175799075973,0.4421844967917794,0.18079649379321394,0.16968242009240275,0.1421844967917794,0.08079649379321394,0.2356621060451235,0.3926634106773961,0.030803442001342773,1.2588014602661133
baseline,122,1.5269244439443221,0.33155122830529576,0.05037693867022189,0.07307555605567795,0.031551228305295775,0.04962306132977812,0.09379746860208088,0.15424984569075184,0.05322098731994629,1.2587056159973145
baseline,123,1.5732399672022632,0.3686698459521007,0.08725651724982202,0.026760032797736866,0.06866984595210074,0.01274348275017799,0.07479333827972437,0.1081733615000156,0.036077260971069336,1.2582275867462158
baseline,124,1.681910869031959,0.3433520883353184,0.053361558498696574,0.08191086903195899,0.043352088335318395,0.04663844150130343,0.10374940122369136,0.1719013988685808,0.03321671485900879,1.2592642307281494
baseline,125,1.6364451607870172,0.2545432097901753,0.11184583297838113,0.036445160787017095,0.04545679020982468,0.011845832978381127,0.05945496850493862,0.0937477839752229,0.03307700157165527,1.2594759464263916
baseline,126,1.6289809138544533,0.35461203184682305,0.1337582878258025,0.028980913854453227,0.05461203184682306,0.03375828782580251,0.07044138973080658,0.1173512335270788,0.03300952911376953,1.2570018768310547
baseline,127,1.6434353788215377,0.2737100909887338,0.10928745037586547,0.043435378821537585,0.02628990901126621,0.009287450375865466,0.05161441837001843,0.07901273820866926,0.03226327896118164,1.257680892944336
baseline,128,1.6987546504392597,0.1360154130697049,0.1315502499513369,0.09875465043925957,0.16398458693029508,0.0315502499513369,0.19400732977408788,0.29428948732089155,0.03189516067504883,1.2595953941345215
baseline,129,1.5452523337047448,0.2645453542698022,0.17353041953167547,0.05474766629525529,0.0354546457301978,0.07353041953167547,0.09829069877223717,0.16373273155712856,0.031822919845581055,1.2580969333648682
baseline,130,1.6046905429915173,0.3905877994056912,0.18101859470496,0.004690542991517166,0.09058779940569123,0.08101859470496,0.12162303763139447,0.1762969371021684,0.032015323638916016,1.2586002349853516
baseline,131,1.6760481579186,0.3450736289572354,0.07539654999070489,0.07604815791859987,0.045073628957235434,0.02460345000929512,0.09176210602719796,0.14572523688513042,0.03202962875366211,1.2581117153167725
baseline,132,1.5790925964619904,0.4002004973690305,0.0869126088430956,0.020907403538009683,0.10020049736903053,0.01308739115690441,0.10319175840635769,0.13419529206394462,0.0392458438873291,1.259498119354248
baseline,133,1.6822943894060194,0.41793793144865693,0.0588690868776019,0.0822943894060193,0.11793793144865694,0.041130913122398104,0.1495776527974012,0.24136323397707435,0.051230669021606445,1.2600724697113037
baseline,134,1.7327574512335813,0.3205936810845915,0.1623541016959711,0.13275745123358118,0.02059368108459153,0.06235410169597108,0.1481103458809075,0.2157052340141438,0.03272223472595215,1.2583889961242676
baseline,135,1.6005810529750932,0.22538067742951629,0.09300063317604478,0.0005810529750931437,0.0746193225704837,0.00699936682395523,0.07494912981065256,0.08219974236953208,0.030326128005981445,1.2580039501190186
