dataset,method,index,jo_b,jb_b,J_total_b,jo_a,jb_a,J_total_a,misfitb,misfita,Improvement,pct_drop_J,pct_drop_Jo,pct_drop_Jb,cg_iterations,converged,exit_code,runtime,log_runtime,jo_jb_ratio,log_jo_jb_ratio,pct_drop_J_100
baseline,NN-NPZ,11,696.5292500714338,0.0,348.2646250357169,504.7355179470165,47.88392371367256,276.30972083034453,4.1618680860056045,3.6287318951412058,12.810021361731378,0.20660985650780037,0.27535632151090217,,52,1,0,0.9325401782989502,-0.030332447629062377,10.540813676112691,1.0228741366266627,20.660985650780038
baseline,NN-NPZ,12,5942.345466871825,1.4176984312850486e-27,2971.1727334359125,3348.9996403075015,69.39297474971463,1709.196307528608,8.946808844133248,6.841700760961733,23.52915011201912,0.42474017471476133,0.4364178826394479,-4.894762751963727e+28,56,1,0,1.0230684280395508,0.00990468251579564,48.26136438719647,1.6835995955971073,42.47401747147613
baseline,NN-NPZ,13,2670.725022821762,1.3695501826753677e-27,1335.362511410881,1776.6654521560386,38.37595537294712,907.5207037644929,5.76710264762781,4.716657136509204,18.214441033933877,0.32039375374882345,0.33476286889359447,-2.802084644900054e+28,59,1,0,1.1034533977508545,0.04275399628605442,46.29631848614478,1.6655464570066802,32.03937537488235
baseline,NN-NPZ,14,3032.97995302287,1.9259299443872359e-28,1516.489976511435,1642.3716888805643,33.666189261395715,838.01893907098,5.983202900208223,4.410951197767419,26.277760067038468,0.4473956623183385,0.4584956991741185,-1.748048487407839e+29,49,1,0,0.8856372833251953,-0.052744108929726016,48.78400926605127,1.6882774895113546,44.73956623183385
baseline,NN-NPZ,15,799.1193816381428,0.0,399.5596908190714,464.8440277174467,25.484199565085873,245.16411364126628,4.846269691554256,3.884445740397651,19.846686469653253,0.38641429735142757,0.4183046508463521,,52,1,0,0.9308493137359619,-0.03112061709555376,18.24047981300135,1.2610362581918548,38.64142973514276
baseline,NN-NPZ,16,392.8309464347031,0.0,196.41547321735155,252.8772993713915,27.22850420086797,140.05290178612972,3.9997920220393794,2.9843338992436412,25.387773094211664,0.2869558620203589,0.3562694037562921,,62,1,0,1.1314077377319336,0.05361914456771908,9.28722699954008,0.9678860607566939,28.695586202035887
baseline,NN-NPZ,17,939.8349961777101,0.0,469.91749808885504,672.9548284472264,20.06012214050824,346.50747529386734,3.810567499044227,3.202867303379452,15.947760952068146,0.26262061595257413,0.2839649181142221,,53,1,0,0.9891960620880127,-0.004717621199590319,33.54689586302671,1.5256523405429305,26.262061595257414
baseline,NN-NPZ,18,447.5115932984884,0.0,223.7557966492442,293.72293475812467,6.874170072215627,150.29855241517015,2.4188329756323186,1.9718925778975724,18.477522104142363,0.3282920278897819,0.34365290384284486,,62,1,0,1.1198608875274658,0.049164076659873907,42.72849401054378,1.6307175861371928,32.82920278897819
baseline,NN-NPZ,19,204.87522181820984,4.8148248609680896e-29,102.43761090910492,140.03384036391742,2.848399125080588,71.441119744499,1.469247957168163,1.1525096727682371,21.55785093010502,0.3025889699058851,0.3164920622359475,-5.915893531603715e+28,58,1,0,1.0408899784088135,0.017404827209758934,49.16229580710728,1.6916321556032958,30.258896990588507
baseline,NN-NPZ,20,872.8332752145748,1.9259299443872359e-28,436.4166376072874,542.6710414391888,46.616130775024594,294.64358610710667,4.038814526641099,3.3932348117806734,15.98438627478458,0.3248571188245032,0.3782649483593758,-2.420447893802089e+29,55,1,0,0.9862198829650879,-0.006026245999794725,11.64127164603576,1.0660004235004112,32.48571188245032
baseline,NN-NPZ,21,3058.793027967688,0.0,1529.396513983844,1439.4382836290656,70.46850079442615,754.9533922117458,8.156798429288052,5.622273507786817,31.072545723340323,0.5063717058925369,0.5294097147248136,,76,1,0,1.3937251567840576,0.1441771391418283,20.42669089595448,1.3101980170471708,50.637170589253685
baseline,NN-NPZ,22,6983.39988835748,1.3695501826753677e-27,3491.69994417874,3580.799428481939,116.80434918603274,1848.8018888339857,9.454824319088575,6.8851239937754265,27.178721027371367,0.47051524518415333,0.4872412455641066,-8.528665153244666e+28,51,1,0,0.9226453304290771,-0.034965211908991836,30.65638782661121,1.4865209815885532,47.051524518415334
