method,dataset,metric,value
NN-NPZ,baseline,Computational Time (s),1.3947858810424805
NN-NPZ,baseline,Computational Time (s),1.4114396572113037
NN-NPZ,baseline,Computational Time (s),1.0336391925811768
NN-NPZ,baseline,Computational Time (s),1.0951130390167236
NN-NPZ,baseline,Computational Time (s),0.9925732612609863
NN-NPZ,baseline,Computational Time (s),1.0519657135009766
NN-NPZ,baseline,Computational Time (s),1.0295085906982422
NN-NPZ,baseline,Computational Time (s),1.3105230331420898
NN-NPZ,baseline,Computational Time (s),1.2840931415557861
NN-NPZ,baseline,Computational Time (s),1.0742466449737549
NN-NPZ,baseline,Computational Time (s),0.9757170677185059
NN-NPZ,baseline,Computational Time (s),0.8785617351531982
NN-NPZ,baseline,Computational Time (s),1.3936758041381836
NN-NPZ,baseline,Computational Time (s),1.0310566425323486
NN-NPZ,baseline,Computational Time (s),1.2490780353546143
NN-NPZ,baseline,Computational Time (s),1.1281723976135254
NN-NPZ,baseline,Computational Time (s),0.9738404750823975
NN-NPZ,baseline,Computational Time (s),1.1290266513824463
NN-NPZ,baseline,Computational Time (s),1.176499605178833
NN-NPZ,baseline,Computational Time (s),0.9722092151641846
NN-NPZ,baseline,Computational Time (s),0.9026379585266113
NN-NPZ,baseline,Computational Time (s),1.0673067569732666
NN-NPZ,baseline,Computational Time (s),0.9490501880645752
NN-NPZ,baseline,Computational Time (s),1.1417245864868164
NN-NPZ,baseline,Computational Time (s),0.9877715110778809
NN-NPZ,baseline,Computational Time (s),1.1194818019866943
NN-NPZ,baseline,Computational Time (s),0.896526575088501
NN-NPZ,baseline,Computational Time (s),0.9948046207427979
NN-NPZ,baseline,Computational Time (s),1.0410494804382324
NN-NPZ,baseline,Computational Time (s),1.090733289718628
NN-NPZ,baseline,Computational Time (s),0.9385135173797607
NN-NPZ,baseline,Computational Time (s),1.033271074295044
NN-NPZ,baseline,Computational Time (s),0.8967134952545166
NN-NPZ,baseline,Computational Time (s),1.0325934886932373
NN-NPZ,baseline,Computational Time (s),0.9851219654083252
NN-NPZ,baseline,Computational Time (s),1.5740127563476562
NN-NPZ,baseline,Computational Time (s),1.0244455337524414
NN-NPZ,baseline,Computational Time (s),1.140113353729248
NN-NPZ,baseline,Computational Time (s),1.003931999206543
NN-NPZ,baseline,Computational Time (s),1.0578944683074951
NN-NPZ,baseline,Computational Time (s),1.026177167892456
NN-NPZ,baseline,Computational Time (s),1.150982141494751
NN-NPZ,baseline,Computational Time (s),1.011627197265625
NN-NPZ,baseline,Computational Time (s),1.1502690315246582
NN-NPZ,baseline,Computational Time (s),1.0657691955566406
NN-NPZ,baseline,Computational Time (s),1.0883145332336426
NN-NPZ,baseline,Computational Time (s),0.9713976383209229
NN-NPZ,baseline,Computational Time (s),1.1050405502319336
NN-NPZ,baseline,Computational Time (s),1.210439920425415
NN-NPZ,baseline,Computational Time (s),1.0021984577178955
NN-NPZ,baseline,Computational Time (s),1.3328673839569092
NN-NPZ,baseline,Computational Time (s),0.9784841537475586
NN-NPZ,baseline,Computational Time (s),1.0235497951507568
NN-NPZ,baseline,Computational Time (s),0.9397621154785156
NN-NPZ,baseline,Computational Time (s),1.0190203189849854
NN-NPZ,baseline,Computational Time (s),1.073392391204834
NN-NPZ,baseline,Computational Time (s),1.1369531154632568
NN-NPZ,baseline,Computational Time (s),1.0303523540496826
NN-NPZ,baseline,Computational Time (s),0.9895608425140381
NN-NPZ,baseline,Computational Time (s),1.2249927520751953
NN-NPZ,baseline,Computational Time (s),0.951627254486084
NN-NPZ,baseline,Computational Time (s),0.9555966854095459
NN-NPZ,baseline,Computational Time (s),1.082038164138794
NN-NPZ,baseline,Computational Time (s),1.0426890850067139
NN-NPZ,baseline,Computational Time (s),1.2313554286956787
